BenchmarkJoin/Join_0_0x0_tables-4         	11615760	        97.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_3_1x3_tables-4         	 1290050	       921 ns/op	     608 B/op	      13 allocs/op
BenchmarkJoin/Join_4_1x3_tables-4         	  965433	      1092 ns/op	     640 B/op	      15 allocs/op
BenchmarkJoin/Join_5_1x3_tables-4         	  786012	      1547 ns/op	    1200 B/op	      20 allocs/op
BenchmarkJoin/Join_6_1x3_tables-4         	  699235	      1724 ns/op	    1232 B/op	      22 allocs/op
BenchmarkJoin/Join_7_1x3_tables-4         	  627342	      1902 ns/op	    1264 B/op	      24 allocs/op
BenchmarkJoin/Join_8_1x3_tables-4         	  593869	      2052 ns/op	    1296 B/op	      26 allocs/op
BenchmarkJoin/Join_0_2x3_tables-4         	13298874	        87.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_2x3_tables-4         	 5191172	       231 ns/op	     178 B/op	       4 allocs/op
BenchmarkJoin/Join_2_2x3_tables-4         	 1521282	       770 ns/op	     560 B/op	      10 allocs/op
BenchmarkJoin/Join_3_2x3_tables-4         	  995806	      1233 ns/op	     944 B/op	      14 allocs/op
BenchmarkJoin/Join_4_2x3_tables-4         	  732474	      1618 ns/op	    1296 B/op	      17 allocs/op
BenchmarkJoin/Join_5_2x3_tables-4         	  529269	      2230 ns/op	    2080 B/op	      22 allocs/op
BenchmarkJoin/Join_6_2x3_tables-4         	  496804	      2488 ns/op	    2144 B/op	      24 allocs/op
BenchmarkJoin/Join_7_2x3_tables-4         	  406288	      2999 ns/op	    2848 B/op	      27 allocs/op
BenchmarkJoin/Join_8_2x3_tables-4         	  353288	      3238 ns/op	    2912 B/op	      29 allocs/op
BenchmarkJoin/Join_0_3x3_tables-4         	13142958	        87.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_3x3_tables-4         	 4968854	       241 ns/op	     210 B/op	       4 allocs/op
BenchmarkJoin/Join_2_3x3_tables-4         	 1363336	       875 ns/op	     768 B/op	      10 allocs/op
BenchmarkJoin/Join_3_3x3_tables-4         	  865902	      1454 ns/op	    1312 B/op	      14 allocs/op
BenchmarkJoin/Join_4_3x3_tables-4         	  642642	      1880 ns/op	    1792 B/op	      17 allocs/op
BenchmarkJoin/Join_5_3x3_tables-4         	  494878	      2548 ns/op	    2672 B/op	      22 allocs/op
BenchmarkJoin/Join_6_3x3_tables-4         	  390273	      3093 ns/op	    3408 B/op	      25 allocs/op
BenchmarkJoin/Join_7_3x3_tables-4         	  328899	      3708 ns/op	    4400 B/op	      28 allocs/op
BenchmarkJoin/Join_8_3x3_tables-4         	  302966	      4036 ns/op	    4496 B/op	      30 allocs/op
BenchmarkJoin/Join_0_4x3_tables-4         	13791769	        87.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_4x3_tables-4         	 4836481	       252 ns/op	     242 B/op	       4 allocs/op
BenchmarkJoin/Join_2_4x3_tables-4         	 1273155	       943 ns/op	     928 B/op	      10 allocs/op
BenchmarkJoin/Join_3_4x3_tables-4         	  759280	      1558 ns/op	    1600 B/op	      14 allocs/op
BenchmarkJoin/Join_4_4x3_tables-4         	  535281	      2285 ns/op	    2784 B/op	      18 allocs/op
BenchmarkJoin/Join_5_4x3_tables-4         	  402771	      3044 ns/op	    3824 B/op	      23 allocs/op
BenchmarkJoin/Join_6_4x3_tables-4         	  333711	      3720 ns/op	    4848 B/op	      26 allocs/op
BenchmarkJoin/Join_7_4x3_tables-4         	  265159	      4409 ns/op	    6000 B/op	      29 allocs/op
BenchmarkJoin/Join_8_4x3_tables-4         	  237597	      5154 ns/op	    7408 B/op	      32 allocs/op
BenchmarkJoin/Join_0_5x3_tables-4         	13877134	        88.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_5x3_tables-4         	 4576299	       263 ns/op	     274 B/op	       4 allocs/op
BenchmarkJoin/Join_2_5x3_tables-4         	 1000000	      1030 ns/op	    1088 B/op	      10 allocs/op
BenchmarkJoin/Join_3_5x3_tables-4         	  647781	      1942 ns/op	    2528 B/op	      15 allocs/op
BenchmarkJoin/Join_4_5x3_tables-4         	  515718	      2385 ns/op	    2688 B/op	      17 allocs/op
BenchmarkJoin/Join_5_5x3_tables-4         	  374053	      3265 ns/op	    4016 B/op	      22 allocs/op
BenchmarkJoin/Join_6_5x3_tables-4         	  301238	      4006 ns/op	    5200 B/op	      25 allocs/op
BenchmarkJoin/Join_7_5x3_tables-4         	  238286	      4842 ns/op	    6512 B/op	      28 allocs/op
BenchmarkJoin/Join_8_5x3_tables-4         	  208873	      5594 ns/op	    8080 B/op	      31 allocs/op
BenchmarkJoin/Join_0_6x3_tables-4         	12817747	        87.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_6x3_tables-4         	 4455052	       272 ns/op	     306 B/op	       4 allocs/op
BenchmarkJoin/Join_2_6x3_tables-4         	 1000000	      1091 ns/op	    1248 B/op	      10 allocs/op
BenchmarkJoin/Join_3_6x3_tables-4         	  575538	      2070 ns/op	    2912 B/op	      15 allocs/op
BenchmarkJoin/Join_4_6x3_tables-4         	  480128	      2533 ns/op	    3104 B/op	      17 allocs/op
BenchmarkJoin/Join_5_6x3_tables-4         	  350953	      3522 ns/op	    4592 B/op	      22 allocs/op
BenchmarkJoin/Join_6_6x3_tables-4         	  254866	      4716 ns/op	    7216 B/op	      26 allocs/op
BenchmarkJoin/Join_7_6x3_tables-4         	  218748	      5695 ns/op	    8816 B/op	      29 allocs/op
BenchmarkJoin/Join_8_6x3_tables-4         	  190030	      6458 ns/op	   10800 B/op	      32 allocs/op
BenchmarkJoin/Join_0_7x3_tables-4         	13429134	        88.4 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_7x3_tables-4         	 4322878	       280 ns/op	     338 B/op	       4 allocs/op
BenchmarkJoin/Join_2_7x3_tables-4         	 1000000	      1188 ns/op	    1408 B/op	      10 allocs/op
BenchmarkJoin/Join_3_7x3_tables-4         	  538221	      2277 ns/op	    3296 B/op	      15 allocs/op
BenchmarkJoin/Join_4_7x3_tables-4         	  451707	      2763 ns/op	    3520 B/op	      17 allocs/op
BenchmarkJoin/Join_5_7x3_tables-4         	  320438	      3799 ns/op	    5168 B/op	      22 allocs/op
BenchmarkJoin/Join_6_7x3_tables-4         	  237817	      5131 ns/op	    8080 B/op	      26 allocs/op
BenchmarkJoin/Join_7_7x3_tables-4         	  178479	      8020 ns/op	   11632 B/op	      30 allocs/op
BenchmarkJoin/Join_8_7x3_tables-4         	  160448	      7635 ns/op	   13648 B/op	      33 allocs/op
BenchmarkJoin/Join_0_8x3_tables-4         	13607485	        92.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_8x3_tables-4         	 4084058	       287 ns/op	     370 B/op	       4 allocs/op
BenchmarkJoin/Join_2_8x3_tables-4         	  988598	      1233 ns/op	    1568 B/op	      10 allocs/op
BenchmarkJoin/Join_3_8x3_tables-4         	  502147	      2440 ns/op	    3680 B/op	      15 allocs/op
BenchmarkJoin/Join_4_8x3_tables-4         	  428157	      2890 ns/op	    3936 B/op	      17 allocs/op
BenchmarkJoin/Join_5_8x3_tables-4         	  298958	      4085 ns/op	    5872 B/op	      22 allocs/op
BenchmarkJoin/Join_6_8x3_tables-4         	  221504	      5485 ns/op	    9456 B/op	      26 allocs/op
BenchmarkJoin/Join_7_8x3_tables-4         	  157512	      7196 ns/op	   13552 B/op	      30 allocs/op
BenchmarkJoin/Join_8_8x3_tables-4         	  128000	      8765 ns/op	   18160 B/op	      34 allocs/op
BenchmarkJoin/Join_0_0x4_tables-4         	13311748	        87.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_0x4_tables-4         	 7294586	       158 ns/op	     128 B/op	       2 allocs/op
BenchmarkJoin/Join_2_0x4_tables-4         	 3253249	       367 ns/op	     224 B/op	       3 allocs/op
BenchmarkJoin/Join_3_0x4_tables-4         	 2057247	       586 ns/op	     416 B/op	       4 allocs/op
BenchmarkJoin/Join_4_0x4_tables-4         	 1733016	       748 ns/op	     416 B/op	       4 allocs/op
BenchmarkJoin/Join_5_0x4_tables-4         	 1211074	       971 ns/op	     800 B/op	       5 allocs/op
BenchmarkJoin/Join_6_0x4_tables-4         	 1000000	      1079 ns/op	     800 B/op	       5 allocs/op
BenchmarkJoin/Join_7_0x4_tables-4         	 1000000	      1229 ns/op	     800 B/op	       5 allocs/op
BenchmarkJoin/Join_8_0x4_tables-4         	  938769	      1324 ns/op	     800 B/op	       5 allocs/op
BenchmarkJoin/Join_0_1x4_tables-4         	13796035	        88.5 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_1x4_tables-4         	 4968714	       240 ns/op	     179 B/op	       4 allocs/op
BenchmarkJoin/Join_2_1x4_tables-4         	 1734482	       688 ns/op	     432 B/op	      10 allocs/op
BenchmarkJoin/Join_3_1x4_tables-4         	 1000000	      1206 ns/op	     880 B/op	      16 allocs/op
BenchmarkJoin/Join_4_1x4_tables-4         	  812170	      1461 ns/op	     928 B/op	      19 allocs/op
BenchmarkJoin/Join_5_1x4_tables-4         	  605288	      2023 ns/op	    1744 B/op	      24 allocs/op
BenchmarkJoin/Join_6_1x4_tables-4         	  535423	      2331 ns/op	    1824 B/op	      28 allocs/op
BenchmarkJoin/Join_7_1x4_tables-4         	  473360	      2596 ns/op	    1872 B/op	      31 allocs/op
BenchmarkJoin/Join_8_1x4_tables-4         	  420380	      2851 ns/op	    1920 B/op	      34 allocs/op
BenchmarkJoin/Join_0_2x4_tables-4         	13537630	        87.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_2x4_tables-4         	 4654570	       254 ns/op	     227 B/op	       4 allocs/op
BenchmarkJoin/Join_2_2x4_tables-4         	 1000000	      1047 ns/op	     768 B/op	      11 allocs/op
BenchmarkJoin/Join_3_2x4_tables-4         	  756074	      1618 ns/op	    1360 B/op	      17 allocs/op
BenchmarkJoin/Join_4_2x4_tables-4         	  576030	      2168 ns/op	    1904 B/op	      21 allocs/op
BenchmarkJoin/Join_5_2x4_tables-4         	  413072	      2977 ns/op	    3024 B/op	      26 allocs/op
BenchmarkJoin/Join_6_2x4_tables-4         	  356764	      3445 ns/op	    3152 B/op	      30 allocs/op
BenchmarkJoin/Join_7_2x4_tables-4         	  292831	      4190 ns/op	    4272 B/op	      34 allocs/op
BenchmarkJoin/Join_8_2x4_tables-4         	  268702	      4568 ns/op	    4368 B/op	      37 allocs/op
BenchmarkJoin/Join_0_3x4_tables-4         	13411124	        87.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_3x4_tables-4         	 4463752	       295 ns/op	     275 B/op	       4 allocs/op
BenchmarkJoin/Join_2_3x4_tables-4         	 1000000	      1205 ns/op	    1296 B/op	      12 allocs/op
BenchmarkJoin/Join_3_3x4_tables-4         	  562309	      2188 ns/op	    2544 B/op	      19 allocs/op
BenchmarkJoin/Join_4_3x4_tables-4         	  436693	      2859 ns/op	    3328 B/op	      23 allocs/op
BenchmarkJoin/Join_5_3x4_tables-4         	  308995	      3856 ns/op	    4752 B/op	      28 allocs/op
BenchmarkJoin/Join_6_3x4_tables-4         	  263221	      4711 ns/op	    6080 B/op	      33 allocs/op
BenchmarkJoin/Join_7_3x4_tables-4         	  217767	      5242 ns/op	    6224 B/op	      36 allocs/op
BenchmarkJoin/Join_8_3x4_tables-4         	  191814	      6313 ns/op	    7776 B/op	      40 allocs/op
BenchmarkJoin/Join_0_4x4_tables-4         	13638934	        87.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_4x4_tables-4         	 4325562	       280 ns/op	     323 B/op	       4 allocs/op
BenchmarkJoin/Join_2_4x4_tables-4         	 1000000	      1220 ns/op	    1344 B/op	      11 allocs/op
BenchmarkJoin/Join_3_4x4_tables-4         	  529562	      2273 ns/op	    2960 B/op	      18 allocs/op
BenchmarkJoin/Join_4_4x4_tables-4         	  385626	      3098 ns/op	    4048 B/op	      22 allocs/op
BenchmarkJoin/Join_5_4x4_tables-4         	  292636	      4212 ns/op	    5648 B/op	      27 allocs/op
BenchmarkJoin/Join_6_4x4_tables-4         	  235461	      5275 ns/op	    7152 B/op	      32 allocs/op
BenchmarkJoin/Join_7_4x4_tables-4         	  196190	      6236 ns/op	    8880 B/op	      36 allocs/op
BenchmarkJoin/Join_8_4x4_tables-4         	  164404	      7305 ns/op	   10864 B/op	      40 allocs/op
BenchmarkJoin/Join_0_5x4_tables-4         	14039094	        87.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_5x4_tables-4         	 4141797	       286 ns/op	     371 B/op	       4 allocs/op
BenchmarkJoin/Join_2_5x4_tables-4         	  955800	      1315 ns/op	    1584 B/op	      11 allocs/op
BenchmarkJoin/Join_3_5x4_tables-4         	  467618	      2567 ns/op	    3504 B/op	      18 allocs/op
BenchmarkJoin/Join_4_5x4_tables-4         	  261640	      4608 ns/op	    5664 B/op	      23 allocs/op
BenchmarkJoin/Join_5_5x4_tables-4         	  226010	      5473 ns/op	    8848 B/op	      29 allocs/op
BenchmarkJoin/Join_6_5x4_tables-4         	  189518	      6463 ns/op	   10656 B/op	      34 allocs/op
BenchmarkJoin/Join_7_5x4_tables-4         	  148574	      7791 ns/op	   12944 B/op	      38 allocs/op
BenchmarkJoin/Join_8_5x4_tables-4         	  135523	      8910 ns/op	   15488 B/op	      42 allocs/op
BenchmarkJoin/Join_0_6x4_tables-4         	12850137	        87.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_6x4_tables-4         	 3961226	       301 ns/op	     419 B/op	       4 allocs/op
BenchmarkJoin/Join_2_6x4_tables-4         	  856530	      1421 ns/op	    1872 B/op	      11 allocs/op
BenchmarkJoin/Join_3_6x4_tables-4         	  442420	      2763 ns/op	    4160 B/op	      18 allocs/op
BenchmarkJoin/Join_4_6x4_tables-4         	  269786	      4515 ns/op	    7904 B/op	      24 allocs/op
BenchmarkJoin/Join_5_6x4_tables-4         	  194562	      6435 ns/op	   11776 B/op	      30 allocs/op
BenchmarkJoin/Join_6_6x4_tables-4         	  158332	      7544 ns/op	   13888 B/op	      35 allocs/op
BenchmarkJoin/Join_7_6x4_tables-4         	  136758	      8765 ns/op	   16224 B/op	      39 allocs/op
BenchmarkJoin/Join_8_6x4_tables-4         	  119110	     10245 ns/op	   19200 B/op	      43 allocs/op
BenchmarkJoin/Join_0_7x4_tables-4         	13823824	        87.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_7x4_tables-4         	 3760730	       318 ns/op	     483 B/op	       4 allocs/op
BenchmarkJoin/Join_2_7x4_tables-4         	  761556	      1546 ns/op	    2080 B/op	      11 allocs/op
BenchmarkJoin/Join_3_7x4_tables-4         	  377737	      3127 ns/op	    4928 B/op	      18 allocs/op
BenchmarkJoin/Join_4_7x4_tables-4         	  310902	      3898 ns/op	    5264 B/op	      21 allocs/op
BenchmarkJoin/Join_5_7x4_tables-4         	  210759	      5783 ns/op	    9568 B/op	      27 allocs/op
BenchmarkJoin/Join_6_7x4_tables-4         	  167484	      7234 ns/op	   11984 B/op	      32 allocs/op
BenchmarkJoin/Join_7_7x4_tables-4         	  127522	      9349 ns/op	   17312 B/op	      37 allocs/op
BenchmarkJoin/Join_8_7x4_tables-4         	  110737	     11057 ns/op	   20720 B/op	      41 allocs/op
BenchmarkJoin/Join_0_8x4_tables-4         	13895278	        87.3 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_8x4_tables-4         	 3676298	       326 ns/op	     515 B/op	       4 allocs/op
BenchmarkJoin/Join_2_8x4_tables-4         	  769683	      1622 ns/op	    2352 B/op	      11 allocs/op
BenchmarkJoin/Join_3_8x4_tables-4         	  347583	      3400 ns/op	    6016 B/op	      18 allocs/op
BenchmarkJoin/Join_4_8x4_tables-4         	  287856	      4232 ns/op	    6400 B/op	      21 allocs/op
BenchmarkJoin/Join_5_8x4_tables-4         	  229651	      5255 ns/op	    7168 B/op	      25 allocs/op
BenchmarkJoin/Join_6_8x4_tables-4         	  179204	      6669 ns/op	    9888 B/op	      30 allocs/op
BenchmarkJoin/Join_7_8x4_tables-4         	  130105	      8937 ns/op	   16032 B/op	      35 allocs/op
BenchmarkJoin/Join_8_8x4_tables-4         	  113367	     10605 ns/op	   19616 B/op	      39 allocs/op
BenchmarkJoin/Join_0_0x5_tables-4         	13802346	        87.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_0x5_tables-4         	 7322382	       166 ns/op	     144 B/op	       2 allocs/op
BenchmarkJoin/Join_2_0x5_tables-4         	 2963932	       405 ns/op	     272 B/op	       3 allocs/op
BenchmarkJoin/Join_3_0x5_tables-4         	 1777323	       671 ns/op	     528 B/op	       4 allocs/op
BenchmarkJoin/Join_4_0x5_tables-4         	 1482045	       810 ns/op	     528 B/op	       4 allocs/op
BenchmarkJoin/Join_5_0x5_tables-4         	 1000000	      1143 ns/op	    1040 B/op	       5 allocs/op
BenchmarkJoin/Join_6_0x5_tables-4         	  954290	      1292 ns/op	    1040 B/op	       5 allocs/op
BenchmarkJoin/Join_7_0x5_tables-4         	  848162	      1446 ns/op	    1040 B/op	       5 allocs/op
BenchmarkJoin/Join_8_0x5_tables-4         	  707402	      1573 ns/op	    1040 B/op	       5 allocs/op
BenchmarkJoin/Join_0_1x5_tables-4         	13397847	        87.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_1x5_tables-4         	 5025050	       239 ns/op	     212 B/op	       4 allocs/op
BenchmarkJoin/Join_2_1x5_tables-4         	 1517128	       795 ns/op	     544 B/op	      11 allocs/op
BenchmarkJoin/Join_3_1x5_tables-4         	  874665	      1416 ns/op	    1136 B/op	      18 allocs/op
BenchmarkJoin/Join_4_1x5_tables-4         	  691588	      1745 ns/op	    1200 B/op	      22 allocs/op
BenchmarkJoin/Join_5_1x5_tables-4         	  478888	      2711 ns/op	    2320 B/op	      29 allocs/op
BenchmarkJoin/Join_6_1x5_tables-4         	  404397	      2853 ns/op	    2384 B/op	      33 allocs/op
BenchmarkJoin/Join_7_1x5_tables-4         	  376198	      3162 ns/op	    2448 B/op	      37 allocs/op
BenchmarkJoin/Join_8_1x5_tables-4         	  349357	      3476 ns/op	    2512 B/op	      41 allocs/op
BenchmarkJoin/Join_0_2x5_tables-4         	13425818	        87.6 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_2x5_tables-4         	 4640863	       259 ns/op	     276 B/op	       4 allocs/op
BenchmarkJoin/Join_2_2x5_tables-4         	 1000000	      1121 ns/op	    1024 B/op	      12 allocs/op
BenchmarkJoin/Join_3_2x5_tables-4         	  622677	      1992 ns/op	    1872 B/op	      19 allocs/op
BenchmarkJoin/Join_4_2x5_tables-4         	  431630	      2753 ns/op	    2640 B/op	      24 allocs/op
BenchmarkJoin/Join_5_2x5_tables-4         	  318997	      3852 ns/op	    4336 B/op	      31 allocs/op
BenchmarkJoin/Join_6_2x5_tables-4         	  277555	      4431 ns/op	    4464 B/op	      35 allocs/op
BenchmarkJoin/Join_7_2x5_tables-4         	  241069	      4882 ns/op	    4592 B/op	      39 allocs/op
BenchmarkJoin/Join_8_2x5_tables-4         	  202112	      5854 ns/op	    6128 B/op	      44 allocs/op
BenchmarkJoin/Join_0_3x5_tables-4         	13776454	        87.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_3x5_tables-4         	 4268695	       281 ns/op	     340 B/op	       4 allocs/op
BenchmarkJoin/Join_2_3x5_tables-4         	  849961	      1429 ns/op	    1632 B/op	      13 allocs/op
BenchmarkJoin/Join_3_3x5_tables-4         	  465752	      2811 ns/op	    3248 B/op	      21 allocs/op
BenchmarkJoin/Join_4_3x5_tables-4         	  334722	      3775 ns/op	    4336 B/op	      26 allocs/op
BenchmarkJoin/Join_5_3x5_tables-4         	  245810	      5222 ns/op	    6224 B/op	      33 allocs/op
BenchmarkJoin/Join_6_3x5_tables-4         	  204162	      5968 ns/op	    7824 B/op	      38 allocs/op
BenchmarkJoin/Join_7_3x5_tables-4         	  182722	      6959 ns/op	    8016 B/op	      42 allocs/op
BenchmarkJoin/Join_8_3x5_tables-4         	  155799	      7977 ns/op	   10256 B/op	      47 allocs/op
BenchmarkJoin/Join_0_4x5_tables-4         	13298912	        87.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_4x5_tables-4         	 4042704	       299 ns/op	     404 B/op	       4 allocs/op
BenchmarkJoin/Join_2_4x5_tables-4         	  684598	      1774 ns/op	    2592 B/op	      14 allocs/op
BenchmarkJoin/Join_3_4x5_tables-4         	  381921	      3172 ns/op	    4656 B/op	      22 allocs/op
BenchmarkJoin/Join_4_4x5_tables-4         	  267507	      4640 ns/op	    7216 B/op	      28 allocs/op
BenchmarkJoin/Join_5_4x5_tables-4         	  193726	      6222 ns/op	    9552 B/op	      35 allocs/op
BenchmarkJoin/Join_6_4x5_tables-4         	  159750	      7345 ns/op	   11600 B/op	      40 allocs/op
BenchmarkJoin/Join_7_4x5_tables-4         	  129525	      8635 ns/op	   14160 B/op	      45 allocs/op
BenchmarkJoin/Join_8_4x5_tables-4         	  127772	      9407 ns/op	   14416 B/op	      49 allocs/op
BenchmarkJoin/Join_0_5x5_tables-4         	13673008	        87.8 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_5x5_tables-4         	 3819160	       317 ns/op	     468 B/op	       4 allocs/op
BenchmarkJoin/Join_2_5x5_tables-4         	  639762	      1623 ns/op	    2080 B/op	      12 allocs/op
BenchmarkJoin/Join_3_5x5_tables-4         	  363988	      3273 ns/op	    4592 B/op	      20 allocs/op
BenchmarkJoin/Join_4_5x5_tables-4         	  250635	      4855 ns/op	    7472 B/op	      26 allocs/op
BenchmarkJoin/Join_5_5x5_tables-4         	  165900	      6964 ns/op	   11920 B/op	      34 allocs/op
BenchmarkJoin/Join_6_5x5_tables-4         	  135978	      8409 ns/op	   14544 B/op	      39 allocs/op
BenchmarkJoin/Join_7_5x5_tables-4         	  117678	     10052 ns/op	   17552 B/op	      44 allocs/op
BenchmarkJoin/Join_8_5x5_tables-4         	  103945	     11726 ns/op	   20944 B/op	      49 allocs/op
BenchmarkJoin/Join_0_6x5_tables-4         	13800908	        87.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_6x5_tables-4         	 3611698	       331 ns/op	     532 B/op	       4 allocs/op
BenchmarkJoin/Join_2_6x5_tables-4         	  702266	      1742 ns/op	    2400 B/op	      12 allocs/op
BenchmarkJoin/Join_3_6x5_tables-4         	  311883	      3907 ns/op	    6512 B/op	      21 allocs/op
BenchmarkJoin/Join_4_6x5_tables-4         	  215514	      5695 ns/op	   10096 B/op	      27 allocs/op
BenchmarkJoin/Join_5_6x5_tables-4         	  152329	      7909 ns/op	   14864 B/op	      35 allocs/op
BenchmarkJoin/Join_6_6x5_tables-4         	  125671	      9635 ns/op	   17936 B/op	      40 allocs/op
BenchmarkJoin/Join_7_6x5_tables-4         	  106059	     11315 ns/op	   21008 B/op	      45 allocs/op
BenchmarkJoin/Join_8_6x5_tables-4         	   90362	     13139 ns/op	   24592 B/op	      50 allocs/op
BenchmarkJoin/Join_0_7x5_tables-4         	14020556	        87.7 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_7x5_tables-4         	 3463892	       346 ns/op	     596 B/op	       4 allocs/op
BenchmarkJoin/Join_2_7x5_tables-4         	  661208	      1908 ns/op	    2720 B/op	      12 allocs/op
BenchmarkJoin/Join_3_7x5_tables-4         	  285526	      4294 ns/op	    7280 B/op	      21 allocs/op
BenchmarkJoin/Join_4_7x5_tables-4         	  179311	      6750 ns/op	   12848 B/op	      28 allocs/op
BenchmarkJoin/Join_5_7x5_tables-4         	  129996	      9241 ns/op	   18192 B/op	      36 allocs/op
BenchmarkJoin/Join_6_7x5_tables-4         	  103275	     11873 ns/op	   24400 B/op	      42 allocs/op
BenchmarkJoin/Join_7_7x5_tables-4         	   87829	     13891 ns/op	   28048 B/op	      47 allocs/op
BenchmarkJoin/Join_8_7x5_tables-4         	   73382	     16074 ns/op	   32592 B/op	      52 allocs/op
BenchmarkJoin/Join_0_8x5_tables-4         	13825186	        88.0 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_8x5_tables-4         	 3394076	       360 ns/op	     660 B/op	       4 allocs/op
BenchmarkJoin/Join_2_8x5_tables-4         	  569936	      2074 ns/op	    3040 B/op	      12 allocs/op
BenchmarkJoin/Join_3_8x5_tables-4         	  254092	      4613 ns/op	    8560 B/op	      21 allocs/op
BenchmarkJoin/Join_4_8x5_tables-4         	  152943	      7907 ns/op	   17264 B/op	      29 allocs/op
BenchmarkJoin/Join_5_8x5_tables-4         	  112070	     10547 ns/op	   23312 B/op	      37 allocs/op
BenchmarkJoin/Join_6_8x5_tables-4         	   90897	     13268 ns/op	   30096 B/op	      43 allocs/op
BenchmarkJoin/Join_7_8x5_tables-4         	   73028	     16417 ns/op	   38160 B/op	      49 allocs/op
BenchmarkJoin/Join_8_8x5_tables-4         	   63361	     18756 ns/op	   43536 B/op	      54 allocs/op
BenchmarkJoin/Join_0_0x6_tables-4         	13855537	        88.9 ns/op	      80 B/op	       1 allocs/op
BenchmarkJoin/Join_1_0x6_tables-4         	 7230864	       168 ns/op	     160 B/op	       2 allocs/op
BenchmarkJoin/Join_2_0x6_tables-4         	 2701770	       446 ns/op	     320 B/op	       3 allocs/op
BenchmarkJoin/Join_3_0x6_tables-4         	 1576249	       763 ns/op	     640 B/op	       4 allocs/op
BenchmarkJoin/Join_4_0x6_tables-4         	SIGQUIT: quit
